"KODE","TEKST","N3"
"ÆF1837","PT1B2",""
"ÆF1840","PT2",""
"ÆF1841","PT2A",""
"ÆF1842","PT2B",""
"ÆF1843","PT2C",""
"ÆF1850","PT3",""
"ÆF1851","PT3A",""
"ÆF1852","PT3B",""
"ÆF1853","PT3C",""
"ÆF1860","PT4",""
"ÆF1861","PT4A",""
"ÆF1862","PT4B",""
"ÆF1870","PTX",""
"ÆF1900","PN0",""
"ÆF1910","PN1",""
"ÆF1920","PN2",""
"ÆF1930","PN3",""
"ÆF1940","PN4",""
"ÆF1950","PNX",""
"ÆF2000","PM0",""
"ÆF2010","PM1",""
"ÆF2011","PM1A",""
"ÆF2012","PM1B",""
"ÆF2013","PM1C",""
"ÆF2050","PMX",""
"ÆF5120","BORDERLINE",""
"ÆF5140","MIKROINVASIV",""
"ÆF5200","T-CELLE OPRINDELSE",""
"ÆF5205","T-CELLERIG",""
"ÆF5220","B-CELLE OPRINDELSE",""
"ÆF5220","UDGÅET 13.11.95 - SE ÆF5120",""
"ÆF5220","BORDERLINE",""
"ÆLK010","B-CELLE, LOW GRADE ML, KIEL",""
"ÆLK011","B-CELLE, CLL-LIGNENDE ML, KIEL",""
"ÆLK014","IMMUNOCYTOM ML, KIEL",""
"ÆLK015","CENTROBLASTISK/CENTROCYTISK ML, KIEL",""
"ÆLK016","CENTROCYTISK, DIFFUST ML, KIEL",""
"ÆLK017","MONOCYTOIDT B-CELLE ML, KIEL",""
"ÆLK020","T-CELLE, LOW GRADE ML, KIEL",""
"ÆLK021","T-LYMFOCYTÆRT CLL-LIGNENDE ML, KIEL",""
"ÆLK024","LENNERT ML, KIEL",""
"ÆLK025","T-ZONE ML, KIEL",""
"ÆLK026","PLEOMORFT T-CELLE, SMÅ CELLER ML, KIEL",""
"ÆLK030","B-CELLE, HIGH GRADE ML, KIEL",""
"ÆLK031","CENTROBLASTISK ML, KIEL",""
"ÆLK032","B-IMMUNOBLASTISK ML, KIEL",""
"ÆLK034","B-LYMFOBLASTISK ML, KIEL",""
"ÆLK035","ANAPLASTISK, STORCELLET CD30+, B-FÆNOTYPE ML, KIEL",""
"ÆLK040","T-CELLE, HIGH GRADE ML, KIEL",""
"ÆLK041","PLEOMORFT T-CELLE, INTERMEDIÆRE OG STORE CELLER ML, KIEL",""
"ÆLK042","T-IMMUNOBLASTISK ML, KIEL",""
"ÆLK043","ANAPLASTISK, STORCELLET (CD30+) ML, KIEL",""
"ÆLK044","T-LYMFOBLASTISK ML, KIEL",""
"ÆL0010","LOW GRADE ML, IWF",""
"ÆL0011","[A]SMÅCELLET LYMFOCYTÆRT ML, IWF",""
"ÆL0012","[A]SMÅCELLET LYMFOCYTÆRT, FORENELIGT MED CLL ML, IWF",""
"ÆL0013","[A]SMÅCELLET LYMFOCYTÆRT, PLASMACYTOIDT ML, IWF",""
"ÆL0014","[B]FOLLIKULÆRT, SMÅ KLØVEDE CELLER ML, IWF",""
"ÆL0015","[C]FOLLIKULÆRT, SMÅ KLØVEDE OG STORE CELLER ML, IWF",""
"ÆL0020","INTERMEDIATE GRADE ML, IWF",""
"ÆL0021","[D]FOLLIKULÆRT, STORCELLET ML, IWF",""
"ÆL0022","[E]DIFFUST, SMÅ KLØVEDE CELLER ML, IWF",""
"ÆL0023","[F]DIFFUST, SMÅ KLØVEDE OG STORE IKKE KLØVEDE CELLER ML, IWF",""
"ÆL0024","[G]DIFFUST, STORCELLET, KLØVEDE CELLER ML, IWF",""
"ÆL0025","[G]DIFFUST, STORCELLET, IKKE KLØVEDE CELLER ML, IWF",""
"ÆL0030","HIGH GRADE ML, IWF",""
"ÆL0031","[H]IMMUNOBLASTISK, STORCELLET ML, IWF",""
"ÆL0036","[I]LYMFOBLASTISK, CONVOLUTED ML, IWF",""
"ÆL0037","[I]LYMFOBLASTISK, NON-CONVOLUTED ML, IWF",""
"ÆL0038","[J]LYMFOBLASTISK,SMÅ IKKE KLØVEDE CELLER,BURKITT TYPE ML,IWF",""
"ÆL0039","[J]LYMFOBLASTISK,SMÅ IKKE KLØVEDE CELLER,BURKITT-LIGN. ML,IWF",""
"ÆL0040","[J]LYMFOBLA.,SMÅ IKKE KLØVEDE CELLER,NON-BURKITT TYPE ML,IWF",""
"ÆXXX28","ASYMPTOMATISK DIAGNOSE",""
"ÆXXX29","PATOLOGISK-ANATOMISK DIAGNOSE/FUND, IKKE KLINISK ERKENDT",""
"ÆXXX3X","VENSTRE",""
"ÆXXX3Y","BEGGE",""
"ÆXXX39","HØJRE",""
"ÆYYYA1","STADIUM 1",""
"ÆYYYA2","STADIUM 2",""
"ÆYYYA3","STADIUM 3",""
"ÆYYYD1","HØJ DIFFERENTIERINGSGRAD",""
"ÆYYYD2","MIDDEL DIFFERENTIERINGSGRAD",""
"ÆYYYD3","LAV DIFFERENTIERINGSGRAD",""
"ÆYYYE0","INGEN AKTIVITET",""
"ÆYYYE1","MINIMAL AKTIVITET",""
"ÆYYYE2","LET AKTIVITET",""
"ÆYYYE3","MODERAT AKTIVITET",""
"ÆYYYE4","SVÆR AKTIVITET",""
"ÆYYYX2","GRAD II MED INVASION",""
"ÆYYYX3","GRAD III MED INVASION",""
"ÆYYYX4","GRAD IV MED INVASION",""
"ÆYYY0A","TYPE A",""
"ÆYYY0B","TYPE B",""
"ÆYYY0C","TYPE C",""
"ÆYYY0D","TYPE D",""
"ÆYYY0M","BLANDET TYPE",""
"ÆYYY0X","TRANSFORMERING",""
"ÆYYY00","OBS. PRO",""
"ÆYYY01","INGEN TEGN PÅ",""
"ÆYYY04","MINIMAL RESIDUE",""
"ÆYYY05","REGRESSION",""
"ÆYYY06","PROGRESSION",""
"ÆYYY07","RECIDIV",""
"ÆYYY08","REKURRENT",""
"ÆYYY09","TRANSMITTERET",""
"ÆYYY1A","STADIUM A",""
"ÆYYY1B","STADIUM B",""
"ÆYYY1C","STADIUM C",""
"ÆYYY1D","STADIUM D",""
"ÆYYY10","GRAD 0",""
"ÆYYY11","GRAD I",""
"ÆYYY12","GRAD II",""
"ÆYYY13","GRAD III",""
"ÆYYY14","GRAD IV",""
"ÆYYY15","GRAD V",""
"ÆYYY16","GRAD VI",""
"ÆYYY21","LET GRAD",""
"ÆYYY22","MODERAT GRAD",""
"ÆYYY23","SVÆR GRAD",""
"ÆYYY31","AKTIV FASE",""
"ÆYYY32","INTERMEDIÆR FASE",""
"ÆYYY33","INAKTIV FASE",""
"ÆYYY41","TYPE 1",""
"ÆYYY42","TYPE 2",""
"ÆYYY43","TYPE 3",""
"ÆYYY51","UDTALT GRANULERING",""
"ÆYYY51","UDTALT GRANULERING",""
"ÆYYY52","SPARSOM GRANULERING",""
"ÆYYY61","SIMPEL",""
"ÆYYY62","KOMPLEKS",""
"ÆYYY65","KOMPLET",""
"ÆYYY66","INKOMPLET",""
"ÆYYY70","UTILSTRÆKKELIGE KLINISKE OPLYSNINGER",""
"ÆYYY79","UDGÅET PR. 16.02.96 - SE ÆYYY99",""
"ÆYYY79","MULTIPEL",""
"ÆYYY81","SYSTEMATISK",""
"ÆYYY83","HOMOLOG",""
"ÆYYY84","HETEROLOG",""
"ÆYYY92","MIKROFOKAL",""
"ÆYYY94","FOKAL",""
"ÆYYY95","NODULÆR",""
"ÆYYY96","MULTIFOKAL",""
"ÆYYY97","MULTICENTRISK",""
"ÆYYY98","DIFFUS",""
"ÆYYY99","MULTIPEL",""
"ÆYY021","LEVEL 1",""
"ÆYY022","LEVEL 2",""
"ÆYY023","LEVEL 3",""
"ÆYY024","LEVEL 4",""
"ÆYY025","LEVEL 5",""
"ÆYY111","LAV MALIGNITETSGRAD",""
"ÆYY112","INTERMEDIÆR MALIGNITETSGRAD",""
"ÆYY113","HØJ MALIGNITETSGRAD",""
"ÆYY114","SUPERHØJ MALIGNITETSGRAD",""
"ÆYY503","REFRAKTÆR",""
"ÆYY531","FAB-TYPE L1",""
"ÆYY532","FAB-TYPE L1, TIDLIG PRÆ B-TYPE",""
"ÆYY533","FAB-TYPE L1, PRÆ B-TYPE",""
"ÆYY534","FAB-TYPE L2",""
"ÆYY535","FAB-TYPE L2, TIDLIG PRÆ B-TYPE",""
"ÆYY536","FAB-TYPE L2, PRÆ B-TYPE",""
"ÆYY537","FAB-TYPE L3",""
"ÆYY540","FAB-TYPE M0",""
"ÆYY541","FAB-TYPE M1",""
"ÆYY542","FAB-TYPE M2",""
"ÆYY543","FAB-TYPE M3",""
"ÆYY544","FAB-TYPE M4",""
"ÆYY545","FAB-TYPE M5A",""
"ÆYY546","FAB-TYPE M5B",""
"ÆYY547","FAB-TYPE M6",""
"ÆYY548","FAB-TYPE M7",""
"ÆYY553","INFILTRAT",""
"ÆY1111","LAV PROLIFERATIONSRATE",""
"ÆY1112","INTERMEDIÆR PROLIFERATIONSRATE",""
"ÆY1113","HØJ PROLIFERATIONSRATE",""
"Æ00010","UKENDT ÆTIOLOGISK AGENS",""
"Æ00050","UIDENTIFICERET ÆTIOLOGISK AGENS, FORMODET TOKSISK",""
"Æ00060","MIKROBIOLOGISK AGENS",""
"Æ00070","INFEKTIØST AGENS",""
"Æ00120","NOSOKOMIEL ÆTIOLOGI",""
"Æ00130","IATROGEN ÆTIOLOGI",""
"Æ00135","BEHANDLING",""
"Æ00160","TERAPEUTISK UHELD",""
"Æ00360","OPERATIVT INDGREB",""
"Æ00380","STRÅLEBEHANDLING",""
"Æ01000","HEREDITÆR ÆTIOLOGI",""
"Æ10000","BAKTERIE",""
"Æ10030","BACTERIUM, GRAM POSITIV",""
"Æ10040","BACILLUS, GRAM POSITIV",""
"Æ10050","COCCUS, GRAM POSITIV",""
"Æ10060","COCOBACILLUS, GRAM POSITIV",""
"Æ10070","BACTERIUM, GRAM NEGATIV",""
"Æ10080","BACILLUS, GRAM NEGATIV",""
"Æ10090","COCCUS, GRAM NEGATIV",""
"Æ10100","COCOBACILLUS, GRAM NEGATIV",""
"Æ10100","COCCOBACILLUS",""
"Æ10700","ACTINOMYCES",""
"Æ10700","ACTINOMYCES",""
"Æ12800","BORRELIA",""
"Æ13101","BRACHYSPIRA AALBORGI",""
"Æ13550","HELICOBACTER",""
"Æ13551","HELICOBACTER PYLORI",""
"Æ13555","HELICOBACTER HEILMANI",""
"Æ13700","CAMPYLOBACTER",""
"Æ16000","SALMONELLA",""
"Æ16840","YERSINIA",""
"Æ18Y20","UDGÅET PR. 19.12.95 - FEJLOPRETTET - SE Æ48Y20",""
"Æ18Y20","UDGÅET PR. 19.12.95 - FEJLOPRETTET - SE Æ48Y20",""
"Æ18510","HAEMOPHILUS VAGINALIS, GARDNERELLA",""
"Æ18700","LACTOBACILLUS",""
"Æ19000","LEGIONELLA",""
"Æ19200","LEPTOTHRIX",""
"Æ20000","MYCOBACTERIUM",""
"Æ20010","MYCOBACTERIUM TUBERCULOSIS",""
"Æ20060","MYCOBACTERIUM MARINUM",""
"Æ20120","FEJLOPRETTET",""
"Æ20170","MYCOBACTERIUM AVIUM",""
"Æ20310","MYCOBACTERIUM LEPRAE",""
"Æ24200","SPIROKÆTE",""
"Æ25000","STREPTOKOK",""
"Æ26000","TREPONEMA",""
"Æ26010","TREPONEMA PALLIDUM",""
"Æ27100","RICKETTSIA",""
"Æ28000","CHLAMYDIA",""
"Æ28010","CHLAMYDIA TRACHOMATIS",""
"Æ30000","VIRUS",""
"Æ30001","RNA VIRUS",""
"Æ30002","DNA VIRUS",""
"Æ30100","ADENOVIRUS",""
"Æ32100","HERPES VIRUS",""
"Æ32110","HERPES SIMPLEX VIRUS",""
"Æ32200","HERPES ZOSTER VIRUS",""
"Æ32210","EPSTEIN-BARR VIRUS",""
"Æ32220","CYTOMEGALOVIRUS",""
"Æ33450","HUMANT PAPILLOMVIRUS",""
"Æ33700","RS-VIRUS (RSV)",""
"Æ33710","MÆSLINGEVIRUS",""
"Æ33720","RUBELLAVIRUS",""
"Æ33900","PARVOVIRUS",""
"Æ36800","RETROVIRUS",""
"Æ36830","HUMAN IMMUNDEFEKT VIRUS (HIV)",""
"Æ36830","HUMAN IMMUN DEFEKT VIRUS (HIV)",""
"Æ38500","HEPATITISVIRUS",""
"Æ38510","HEPATITIS A VIRUS",""
"Æ38580","HEPATITIS B CORE ANTIGEN",""
"Æ38590","HEPATITIS B SURFACE ANTIGEN",""
"Æ38600","HEPATITIS B VIRUS",""
"Æ38660","HEPATITIS C VIRUS",""
"Æ38815","HEPATITIS D VIRUS",""
"Æ38817","HEPATITIS E VIRUS",""
"Æ40000","FUNGUS",""
"Æ40610","ASPERGILLUS",""
"Æ40800","CANDIDA",""
"Æ40810","CANDIDA ALBICANS",""
"Æ41460","HISTOPLASMA CAPSULATUM",""
"Æ42260","PITYROSPORUM FURFUR",""
"Æ42560","CANDIDA GLABRATA",""
"Æ43000","PARASIT",""
"Æ43010","PROTOZO",""
"Æ43310","PNEUMOCYSTIS CARINII",""
"Æ43360","TOXOPLASMA GONDII",""
"Æ44100","GIARDIA",""
"Æ44200","LEISHMANIA",""
"Æ44330","TRICHOMONAS VAGINALIS",""
"Æ44500","AMØBE",""
"Æ44560","ENTAMOEBA HISTOLYTICA",""
"Æ44750","PLASMODIUM",""
"Æ44760","PLASMODIUM FALCIPARUM",""
"Æ44770","PLASMODIUM MALARIAE",""
"Æ44780","PLASMODIUM OVALE",""
"Æ44790","PLASMODIUM VIVAX",""
"Æ45000","INDVOLDSORM",""
"Æ45220","ASCARIS LUMBRICOIDES",""
"Æ45220","ASKARIDE (SPOLORM)",""
"Æ45450","ENTEROBIUS VERMICULARIS",""
"Æ45450","OXYURIS (ENTEROBIUS) VERMICULARIS",""
"Æ45970","TRICHURIS TRICHIURA",""
"Æ46860","SCHISTOSOMA",""
"Æ47260","ECHINOCOCCUS",""
"Æ47550","TÆNIE",""
"Æ48Y20","IXODES",""
"Æ48Y24","IXODES RICINUS",""
"Æ48000","ARTHROPOD",""
"Æ48010","INSEKT",""
"Æ50000","KEMIKALIE",""
"Æ50530","KULILTE",""
"Æ51100","ARSENIK",""
"Æ51400","METAL",""
"Æ51403","METALLEGERING",""
"Æ51530","KOBBER",""
"Æ51890","NIKKEL",""
"Æ52690","THOROTRAST",""
"Æ54100","KULBRINTE",""
"Æ54270","PARAFFIN",""
"Æ54600","HALOGENERET KULBRINTE",""
"Æ55120","ÆTANOL",""
"Æ59110","SILIKONE",""
"Æ68000","VEGETABILSK MATERIALE",""
"Æ70000","MEDIKAMENT",""
"Æ70930","ILT",""
"Æ77500","ANALGETICUM",""
"Æ81300","RØNTGENKONTRASTMIDDEL",""
"Æ83200","ANTINEOPLASTISK MEDIKAMENT",""
"Æ83800","ADRIAMYCIN",""
"Æ84100","ANTIKOAGULANS",""
"Æ85000","HORMONPRÆPARAT",""
"Æ85080","PERORALT ANTICONCEPTIVUM",""
"Æ85500","ØSTROGEN",""
"Æ85700","GESTAGEN",""
"Æ86620","VACCINIA VIRUS VACCINE",""
"Æ90020","TRAUMATISK AGENS",""
"Æ90100","TERAPEUTISK MEKANISK HJÆLPEMIDDEL",""
"Æ90120","PROTESE",""
"Æ90320","RESPIRATOR",""
"Æ90380","INTRAUTERINT ANTICONCEPTIVUM",""
"Æ90410","PACEMAKER",""
"Æ90600","TUBE, DRÆN",""
"Æ90680","SUTURMATERIALE",""
"Æ90840","KUNSTIG NYRE",""
"Æ93200","STRÅLING",""
"Æ93600","ELEKTRISK STRØM",""
"EYYY00","UDGÅET (FORKERT OPRETTET, SE ÆYYY00)",""
"FA3000","ONKOGENT PROTEIN",""
"FA3002","ABNORMT ONKOGENT PROTEIN",""
"FA3290","ONKOGENT PROTEIN BCL-1",""
"FA3293","ØGET ONKOGENT PROTEIN BCL-1",""
"FA3300","ONKOGENT PROTEIN BCL-2",""
"FA3303","ØGET ONKOGENT PROTEIN BCL-2",""
"FC1700","LEUKOCYTÆRT OVERFLADEANTIGEN",""
"FC1701","LEUKOCYTÆRT OVERFLADEANTIGEN, NORMAL PROFIL",""
"FC1702","LEUKOCYTÆRT OVERFLADEANTIGEN, ABNORM PROFIL",""
"FE1940","GENMOSAIK",""
"FYY035","UDGÅET PR. 01.01.96 - SE F35B10",""
"FYY035","IMMATURITET",""
"FYY501","UDGÅET PR. 01.01.96 - SE F29521",""
"FYY501","ØSTROGENRECEPTOR POSITIV",""
"FYY505","UDGÅET PR. 01.01.96 - SE F29525",""
"FYY505","ØSTROGENRECEPTOR NEGATIV",""
"FYY601","UDGÅET PR. 01.01.96 - SE F29551",""
"FYY601","PROGESTERONRECEPTOR POSITIV",""
"FYY605","UDGÅET PR. 01.01.96 - SE F29555",""
"FYY605","PROGESTERONRECEPTOR NEGATIV",""
"FY0000","FORGIFTNING",""
"FY0200","MEDIKAMENTEL BIVIRKNING",""
"FY0200","MEDIKAMENTEL BEHANDLINGSEFFEKT",""
"FY1830","DØD, PLUDSELIG, UVENTET, ADULT",""
"FY1840","DØD, PLUDSELIG, UVENTET, BARN",""
"FY1870","DØD, IATROGEN",""
"FY1880","DØD UNDER INDLEDNING AF ANÆSTESI",""
"FY1890","DØD UNDER ANÆSTESI",""
"FY1900","DØD, PEROPERATIV",""
"FY1910","DØD, POSTOPERATIV",""
"FY1930","DØD VED ANKOMSTEN",""
"FY1950","DØD PÅ HOSPITAL",""
"FY2110","TRAUMATISK ASFYKSI",""
"FY2400","NATURLIG DØD",""
"FY2440","NATURLIG DØD, USIKKER DØDSÅRSAG",""
"FY2450","NATURLIG DØD, UKENDT DØDSÅRSAG",""
"FY2450","NATURLIG DØD, UKENDT ÅRSAG",""
"FY3100","DØD VED ULYKKESTILFÆLDE",""
"FY3300","SUICIDIUM",""
"FY3500","UKENDT DØDSMÅDE",""
"FY3500","UOPKLARET DØDSMÅDE",""
"FY4390","KADAVEROSE",""
"F00150","KAKEKSI",""
"F01050","POSTOPERATIV TILSTAND",""
"F01060","POSTTRAUMATISK TILSTAND",""
"F01100","POSTINFEKTIØS TILSTAND",""
"F01120","UDGÅET PR. 31. AUGUST 1983",""
"F01160","STATUS EFTER TRANSFUSION",""
"F01220","VENEFICIUM",""
"F01400","STRESS",""
"F01701","NORMAL LEGEMSVÆGT",""
"F01703","HØJ LEGEMSVÆGT",""
"F01704","LAV LEGEMSVÆGT",""
"F01713","LEGEMSHØJDE, HØJ FOR ALDEREN",""
"F01714","LEGEMSHØJDE, LAV FOR ALDEREN",""
"F01790","DEHYDRERING",""
"F04143","SEKRETORISK HYPERFUNKTION",""
"F04145","INGEN SEKRETORISK FUNKTION",""
"F04440","DEKOMPENSATION",""
"F04600","DIATESE",""
"F06000","STATUS EFTER HUDTRANSPLANTATION",""
"F06006","STATUS EFTER KNOGLEMARVSTRANSPLANTATION",""
"F06028","STATUS EFTER LUNGETRANSPLANTATION",""
"F06032","STATUS EFTER HJERTETRANSPLANTATION",""
"F06040","STATUS EFTER KARTRANSPLANTATION",""
"F06056","STATUS EFTER LEVERTRANSPLANTATION",""
"F06059","STATUS EFTER PANCREASTRANSPLANTATION",""
"F06071","STATUS EFTER NYRETRANSPLANTATION",""
"F08010","FØLGE AF PRÆMATURITET",""
"F10022","ELEKTROLYTFORSTYRRELSE",""
"F10123","ØGET KALCIUM",""
"F10361","NORMALT JERNINDHOLD",""
"F10363","ØGET JERNINDHOLD",""
"F10364","NEDSAT JERNINDHOLD",""
"F10365","INTET JERNINDHOLD",""
"F10526","ABNORM FOREKOMST AF PYROFOSFAT",""
"F10531","NORMALT KALIUMINDHOLD",""
"F10533","ØGET KALIUMINDHOLD",""
"F10534","NEDSAT KALIUMINDHOLD",""
"F11486","ABNORM FOREKOMST AF URAT",""
"F11824","HYPOGLYKÆMI",""
"F12316","ABNORM FOREKOMST AF ALFA-1-ANTITRYPSIN",""
"F13502","ABNORM FOREKOMST AF LIPOPROTEIN",""
"F13600","LIPID",""
"F15810","DNA",""
"F15811","NORMALT DNA",""
"F15812","ABNORMT DNA",""
"F15820","RNA",""
"F15821","NORMALT RNA",""
"F15822","ABNORMT RNA",""
"F27590","ØGET PANCREAS POLYPEPTID(PP)-UDSKILLELSE",""
"F29511","ANDROGENRECEPTOR POSITIV",""
"F29512","ANDROGENRECEPTOR NEGATIV",""
"F29521","ØSTROGENRECEPTOR POSITIV",""
"F29525","ØSTROGENRECEPTOR NEGATIV",""
"F29551","PROGESTERONRECEPTOR POSITIV",""
"F29555","PROGESTERONRECEPTOR NEGATIV",""
"F30AA1","NORMALT SPERMAVOLUMEN",""
"F30AA3","ØGET SPERMAVOLUMEN",""
"F30AA4","NEDSAT SPERMAVOLUMEN",""
"F30AB1","NORMAL SPERMIEKONCENTRATION",""
"F30AB3","ØGET SPERMIEKONCENTRATION",""
"F30AB4","NEDSAT SPERMIEKONCENTRATION",""
"F30AC1","NORMAL SPERMIEMOBILITET",""
"F30AC4","NEDSAT SPERMIEMOBILITET",""
"F30AD1","NORMAL FREMADRETTET SPERMIEMOBILITET",""
"F30AD4","NEDSAT FREMADRETTET SPERMIEMOBILITET",""
"F30AE1","NORMALT SPERMIEANTAL",""
"F30AE3","ØGET SPERMIEANTAL",""
"F30AE4","NEDSAT SPERMIEANTAL",""
"F30A00","SPERMAKVALITET",""
"F30A01","NORMAL SPERMAKVALITET",""
"F30A04","NEDSAT SPERMAKVALITET",""
"F30410","MENOPAUSE",""
"F30960","ASPERMI",""
"F31000","GRAVIDITET",""
"F31100","EKTOPISK GRAVIDITET",""
"F31170","PUERPERIUM",""
"F31220","GRAVIDITETSSTATUS, GRAVIDA",""
"F31220","GRAVIDITET",""
"F31240","PRIMIPARA",""
"F31250","MULTIPARA",""
"F31620","HABITUEL ABORT",""
"F31680","SPONTAN ABORT",""
"F31730","ABORTUS PROVOCATUS",""
"F31734","ABORTUS PROVOCATUS, EUGENISK INDIKATION",""
"F31920","LAKTATION",""
"F33004","FØTAL STATUS, MODER MED AKUT SYGDOM",""
"F33005","FØTAL STATUS, MODER MED KRONISK SYGDOM",""
"F33006","FØTAL STATUS, MODER MEDICINMISBRUGER",""
"F33020","FØTALT DISTRESS",""
"F33710","INTRAUTERIN VÆKSTRETARDERING",""
"F33720","EXCESSIV FØTAL VÆKST",""
"F33780","FØTAL HYPOKSI",""
"F33790","FØTAL ASFYKSI",""
"F35B10","IMMATURITET",""
"F35000","NEONATAL STATUS",""
"F35005","NEONATAL STATUS, MODER MED KRONISK SYGDOM",""
"F35030","FØRSTE TRIMESTER FOETUS",""
"F35040","ANDET TRIMESTER FOETUS",""
"F35041","ANDET TRIMESTER FOETUS, 13-14 UGER",""
"F35042","ANDET TRIMESTER FOETUS, 15-16 UGER",""
"F35043","ANDET TRIMESTER FOETUS, 17-18 UGER",""
"F35044","ANDET TRIMESTER FOETUS, 19-20 UGER",""
"F35045","ANDET TRIMESTER FOETUS, 21-22 UGER",""
"F35046","ANDET TRIMESTER FOETUS, 23-24 UGER",""
"F35047","ANDET TRIMESTER FOETUS, 25-26 UGER",""
"F35050","TREDIE TRIMESTER FOETUS",""
"F35051","TREDIE TRIMESTER FOETUS, 27-28 UGER",""
"F35052","TREDIE TRIMESTER FOETUS, 29-30 UGER",""
"F35053","TREDIE TRIMESTER FOETUS, 31-32 UGER",""
"F35054","TREDIE TRIMESTER FOETUS, 33-34 UGER",""
"F35055","TREDIE TRIMESTER FOETUS, 35-36 UGER",""
"F35056","TREDIE TRIMESTER FOETUS, 37-38 UGER",""
"F35057","TREDIE TRIMESTER FOETUS, 39-40 UGER",""
"F35058","TREDIE TRIMESTER FOETUS, 41-42 UGER",""
"F35059","TREDIE TRIMESTER FOETUS, 43 UGER OG OVER",""
"F35060","PRÆMATURITET",""
"F35090","TVILLING, PRÆMATURITET",""
"F35150","FØDT TIL TERMIN",""
"F35180","TVILLING, FØDT TIL TERMIN",""
"F35250","DØDFØDT",""
"F35260","DØDFØDT, MATUR",""
"F35280","DØDFØDT, PRÆMATUR",""
"F35330","INTRAUTERIN DØD",""
"F35350","TVILLING, DØDFØDT, MATUR",""
"F35430","TVILLING, DØDFØDT, PRÆMATUR",""
"F35510","PERINATAL DØD",""
"F35700","NYFØDT, MODER MED DIABETES MELLITUS",""
"F35704","NYFØDT, MODER MED AKUT SYGDOM",""
"F35706","NYFØDT, MODER MEDICINMISBRUGER",""
"F41010","IMMUNOLOGISK REAKTION",""
"F41040","USPECIFIK IMMUNREAKTION",""
"F41380","IMMUNSUPPRESSION",""
